hostname,thread_count,memory,resillience,performance,parallelization,consumption,country_code,cloud_type,instance_type,ts,stage,frequency
96232b2b-4db8-4999-a6aa-6850cd27c222,2,6.8,67,346,"{1,0.9439078751857355}","{0.00330309,0.00660618,0.00849366,0.01065078,0.01267308,0.01327977,0.01357188,0.01359435,0.01361682}",ES,edge,vagrant,2021-04-23 13:37:48.179956,prod,3000
992b9c8e-137d-445b-afa3-69c5c5479e2e,2,6.8,75,350,"{1,0.9523094254600075}","{0.00330309,0.00660618,0.00849366,0.01065078,0.01267308,0.01327977,0.01357188,0.01359435,0.01361682}",ES,edge,vagrant,2021-04-23 14:01:10.169052,prod,3000
8c06a02e-1454-4123-b776-d77e4997bf8f,2,6.8,60,350,"{1,0.9538114907998497}","{0.00330309,0.00660618,0.00849366,0.01065078,0.01267308,0.01327977,0.01357188,0.01359435,0.01361682}",ES,edge,vagrant,2021-04-23 14:23:34.262215,prod,3000
56ea1363-a2f5-4bca-83c0-ff8f488e5100,2,6.8,61,347,"{1,0.9533483822422875}","{0.00330309,0.00660618,0.00849366,0.01065078,0.01267308,0.01327977,0.01357188,0.01359435,0.01361682}",ES,edge,vagrant,2021-04-23 14:46:16.756347,prod,3000
3cf8a63e-a947-4446-90d5-ef8d2ba1dbd9,2,6.8,74,347,"{1,0.9434313360625233}","{0.00330309,0.00660618,0.00849366,0.01065078,0.01267308,0.01327977,0.01357188,0.01359435,0.01361682}",ES,edge,vagrant,2021-04-23 15:09:57.301412,prod,3000
8d2a9ddf-29c6-41f9-b545-dde965b2105f,2,6.8,71,347,"{1,0.9530499075785582}","{0.00330309,0.00660618,0.00849366,0.01065078,0.01267308,0.01327977,0.01357188,0.01359435,0.01361682}",ES,edge,vagrant,2021-04-23 15:32:26.652789,prod,3000
f503cf1b-66ee-472e-9f0f-3939e0fefc25,8,15,60,553,"{1,0.9593931280678268,0.9433962264150944,0.9184109354976505,0.716427857380873,0.7095709570957096,0.6778058007566204,0.6437125748502994}","{0.00330309,0.00660618,0.00849366,0.01065078,0.01267308,0.01327977,0.01357188,0.01359435,0.01361682}",ES,premises,Dell Precision 3520,2021-04-24 20:40:38.669649,prod,4000
34c7eea3-1eee-4dd3-8a5d-3bc51b37b67f,8,15,63,574,"{1,0.9502885042166,0.9304650152107778,0.9153484395040615,0.71271637816245,0.6926560983500485,0.6955815464587394,0.6417865707434053}","{0.00330309,0.00660618,0.00849366,0.01065078,0.01267308,0.01327977,0.01357188,0.01359435,0.01361682}",ES,premises,Dell Precision 3520,2021-04-24 20:59:13.225578,prod,4000
a63d7f91-40d3-493b-bd08-8ba88632fca9,8,15,62,576,"{1,0.9733754512635379,0.9468832309043019,0.9225834046193329,0.7238255033557047,0.6884774976061283,0.6926782273603083,0.6558224384311341}","{0.00330309,0.00660618,0.00849366,0.01065078,0.01267308,0.01327977,0.01357188,0.01359435,0.01361682}",ES,premises,Dell Precision 3520,2021-04-24 21:17:24.509879,prod,4000
436ed861-7209-446e-a65a-2203f5b0f096,8,15,64,576,"{1,0.9407572383073497,0.9267222465993857,0.9029499786233434,0.7042347449149717,0.6974900924702774,0.6767061839154117,0.630071599045346}","{0.00330309,0.00660618,0.00849366,0.01065078,0.01267308,0.01327977,0.01357188,0.01359435,0.01361682}",ES,premises,Dell Precision 3520,2021-04-24 21:36:07.16557,prod,4000
